"ID";"Vakantiekenmerken";"Perioden";"TotaalNaarOrganisatievormEnVervoer_1";"GeorganiseerdeReisPerAuto_2";"GeorganiseerdeReisPerTouringcar_3";"GeorganiseerdeReisPerVliegtuig_4";"GeorganiseerdeReisMetOverigVervoer_5";"NietGeorganiseerdeReizen_6"
"299";"129";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"300";"130";"2002JJ00";"       0";"       0";"       .";"       0";"       0";"       0"
"301";"130";"2003JJ00";"       0";"       0";"       .";"       0";"       0";"       0"
"302";"130";"2004JJ00";"       4";"       0";"       .";"       4";"       .";"       0"
"303";"130";"2005JJ00";"       2";"       0";"       .";"       2";"       .";"       0"
"304";"130";"2006JJ00";"       7";"       0";"       .";"       0";"       .";"       7"
"305";"130";"2007JJ00";"       3";"       3";"       0";"       0";"       0";"       0"
"306";"130";"2008JJ00";"       0";"       0";"       .";"       0";"       .";"       0"
"307";"130";"2009JJ00";"       0";"       0";"       .";"       0";"       0";"       0"
"308";"130";"2010JJ00";"       0";"       0";"       .";"       0";"       .";"       0"
"309";"130";"2011JJ00";"       0";"       .";"       .";"       .";"       .";"       ."
"310";"130";"2012JJ00";"       5";"       .";"       .";"       .";"       .";"       ."
"311";"130";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"312";"130";"2014JJ00";"       0";"       0";"       0";"       0";"       0";"       0"
"313";"130";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"314";"130";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"315";"131";"2002JJ00";"      37";"       2";"       .";"      19";"       6";"       7"
"316";"131";"2003JJ00";"      16";"       0";"       .";"      12";"       0";"       0"
"317";"131";"2004JJ00";"      34";"       9";"       .";"      19";"       .";"       4"
"318";"131";"2005JJ00";"      29";"       0";"       .";"      25";"       .";"       1"
"319";"131";"2006JJ00";"      73";"       0";"       .";"      62";"       .";"       2"
"320";"131";"2007JJ00";"      41";"       0";"       0";"      41";"       0";"       0"
"321";"131";"2008JJ00";"      48";"       0";"       .";"      43";"       .";"       5"
"322";"131";"2009JJ00";"      75";"       7";"       .";"      62";"       0";"       6"
"323";"131";"2010JJ00";"      59";"       9";"       .";"      48";"       .";"       2"
"324";"131";"2011JJ00";"      70";"      10";"       .";"      55";"       .";"       5"
"325";"131";"2012JJ00";"      48";"       .";"       .";"       .";"       .";"       ."
"326";"131";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"327";"131";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"328";"131";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"329";"131";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"330";" 40";"2002JJ00";"     194";"       0";"       .";"       0";"       0";"     194"
"331";" 40";"2003JJ00";"     230";"       0";"       .";"       0";"       0";"     230"
"332";" 40";"2004JJ00";"     223";"       0";"       .";"       0";"       .";"     223"
"333";" 40";"2005JJ00";"     161";"       0";"       .";"       0";"       .";"     161"
"334";" 40";"2006JJ00";"     173";"       0";"       .";"       0";"       .";"     173"
"335";" 40";"2007JJ00";"     240";"       0";"       0";"       0";"       0";"     240"
"336";" 40";"2008JJ00";"     248";"       0";"       .";"       0";"       .";"     248"
"337";" 40";"2009JJ00";"     282";"       0";"       .";"       0";"       0";"     282"
"338";" 40";"2010JJ00";"     247";"       0";"       .";"       0";"       .";"     247"
"339";" 40";"2011JJ00";"     279";"       .";"       .";"       .";"       .";"     279"
"340";" 40";"2012JJ00";"     151";"       .";"       .";"       .";"       .";"       ."
"341";" 40";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"342";" 40";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"343";" 40";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"344";" 40";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"345";" 42";"2002JJ00";"      60";"       0";"       .";"       0";"       0";"      60"
"346";" 42";"2003JJ00";"      67";"       0";"       .";"       0";"       0";"      67"
"347";" 42";"2004JJ00";"      82";"       0";"       .";"       0";"       .";"      82"
"348";" 42";"2005JJ00";"      40";"       0";"       .";"       0";"       .";"      40"
"349";" 42";"2006JJ00";"      87";"       0";"       .";"       0";"       .";"      87"
"350";" 42";"2007JJ00";"     156";"       0";"       0";"       0";"       0";"     156"
"351";" 42";"2008JJ00";"     160";"       1";"       .";"       0";"       .";"     160"
"352";" 42";"2009JJ00";"     203";"       0";"       .";"       0";"       0";"     203"
"353";" 42";"2010JJ00";"     127";"       0";"       .";"       0";"       .";"     127"
"354";" 42";"2011JJ00";"     190";"       .";"       .";"       .";"       .";"     190"
"355";" 42";"2012JJ00";"     104";"       .";"       .";"       .";"       .";"       ."
"356";" 42";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"357";" 42";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"358";" 42";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"359";" 42";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"360";" 43";"2002JJ00";"     123";"       0";"       .";"       0";"       0";"     123"
"361";" 43";"2003JJ00";"     161";"       0";"       .";"       0";"       0";"     161"
"362";" 43";"2004JJ00";"     141";"       0";"       .";"       0";"       .";"     141"
"363";" 43";"2005JJ00";"     118";"       0";"       .";"       0";"       .";"     118"
"364";" 43";"2006JJ00";"      86";"       0";"       .";"       0";"       .";"      86"
"365";" 43";"2007JJ00";"      81";"       0";"       0";"       0";"       0";"      81"
"366";" 43";"2008JJ00";"      85";"       0";"       .";"       0";"       .";"      85"
"367";" 43";"2009JJ00";"      75";"       0";"       .";"       0";"       0";"      75"
"368";" 43";"2010JJ00";"     113";"       0";"       .";"       0";"       .";"     113"
"369";" 43";"2011JJ00";"      81";"       .";"       .";"       .";"       .";"      81"
"370";" 43";"2012JJ00";"      47";"       .";"       .";"       .";"       .";"       ."
"371";" 43";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"372";" 43";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"373";" 43";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"374";" 43";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"375";" 44";"2002JJ00";"       0";"       0";"       .";"       0";"       0";"       0"
"376";" 44";"2003JJ00";"       0";"       0";"       .";"       0";"       0";"       0"
"377";" 44";"2004JJ00";"       0";"       0";"       .";"       0";"       .";"       0"
"378";" 44";"2005JJ00";"       .";"       0";"       .";"       0";"       .";"       0"
"379";" 44";"2006JJ00";"       0";"       0";"       .";"       0";"       .";"       0"
"380";" 44";"2007JJ00";"       0";"       0";"       0";"       0";"       0";"       0"
"381";" 44";"2008JJ00";"       0";"       0";"       .";"       0";"       .";"       0"
"382";" 44";"2009JJ00";"       0";"       0";"       .";"       0";"       0";"       0"
"383";" 44";"2010JJ00";"       0";"       0";"       .";"       0";"       .";"       0"
"384";" 44";"2011JJ00";"       2";"       .";"       .";"       .";"       .";"       2"
"385";" 44";"2012JJ00";"       0";"       .";"       .";"       .";"       .";"       ."
"386";" 44";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"387";" 44";"2014JJ00";"       0";"       0";"       0";"       0";"       0";"       0"
"388";" 44";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"389";" 44";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"390";" 45";"2002JJ00";"      10";"       0";"       .";"       0";"       0";"      10"
"391";" 45";"2003JJ00";"       3";"       0";"       .";"       0";"       0";"       3"
"392";" 45";"2004JJ00";"       0";"       0";"       .";"       0";"       .";"       0"
"393";" 45";"2005JJ00";"       3";"       0";"       .";"       0";"       .";"       3"
"394";" 45";"2006JJ00";"       0";"       0";"       .";"       0";"       .";"       0"
"395";" 45";"2007JJ00";"       2";"       0";"       0";"       0";"       0";"       2"
"396";" 45";"2008JJ00";"       3";"       0";"       .";"       0";"       .";"       3"
"397";" 45";"2009JJ00";"       3";"       0";"       .";"       0";"       0";"       3"
"398";" 45";"2010JJ00";"       8";"       0";"       .";"       0";"       .";"       8"
"399";" 45";"2011JJ00";"       5";"       .";"       .";"       .";"       .";"       5"
"400";" 45";"2012JJ00";"       0";"       .";"       .";"       .";"       .";"       ."
"401";" 45";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"402";" 45";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"403";" 45";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"404";" 45";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"405";" 41";"2002JJ00";"    3391";"     830";"     189";"     360";"     451";"    1561"
"406";" 41";"2003JJ00";"    3226";"     923";"     241";"     348";"     404";"    1309"
"407";" 41";"2004JJ00";"    3340";"    1001";"     201";"     448";"     339";"    1351"
"408";" 41";"2005JJ00";"    3131";"     998";"     255";"     374";"     294";"    1209"
"409";" 41";"2006JJ00";"    3056";"     838";"     208";"     456";"     336";"    1219"
"410";" 41";"2007JJ00";"    3422";"     995";"     203";"     497";"     393";"    1334"
"411";" 41";"2008JJ00";"    3116";"    1044";"     144";"     456";"     343";"    1129"
"412";" 41";"2009JJ00";"    3534";"    1202";"     201";"     511";"     376";"    1244"
"413";" 41";"2010JJ00";"    3377";"    1232";"     150";"     570";"     322";"    1103"
"414";" 41";"2011JJ00";"    3423";"    1439";"     184";"     599";"     420";"     781"
"415";" 41";"2012JJ00";"    3634";"    1459";"     180";"     713";"     394";"     888"
"416";" 41";"2013JJ00";"    3476";"    1505";"     123";"     743";"     354";"     751"
"417";" 41";"2014JJ00";"    3259";"    1348";"     183";"     677";"     301";"     749"
"418";" 41";"2015JJ00";"    3545";"    1506";"     152";"     730";"     351";"     806"
"419";" 41";"2016JJ00";"    3390";"    1506";"     135";"     801";"     305";"     644"
"420";" 46";"2002JJ00";"     444";"       6";"       0";"      44";"      27";"     367"
"421";" 46";"2003JJ00";"     422";"       9";"       7";"      68";"      17";"     321"
"422";" 46";"2004JJ00";"     519";"       4";"       0";"      82";"      20";"     412"
"423";" 46";"2005JJ00";"     373";"       0";"       0";"      32";"       6";"     335"
"424";" 46";"2006JJ00";"     359";"      10";"       0";"      62";"      21";"     266"
"425";" 46";"2007JJ00";"     373";"       2";"       4";"      68";"      26";"     273"
"426";" 46";"2008JJ00";"     354";"      12";"       0";"      57";"       8";"     276"
"427";" 46";"2009JJ00";"     334";"       0";"       .";"      50";"      12";"     273"
"428";" 46";"2010JJ00";"     364";"       2";"       2";"      73";"      20";"     267"
"429";" 46";"2011JJ00";"     284";"       .";"       8";"      93";"      16";"     167"
"430";" 46";"2012JJ00";"     317";"       .";"       .";"       .";"       .";"       ."
"431";" 46";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"432";" 46";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"433";" 46";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"434";" 46";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"435";" 47";"2002JJ00";"      66";"      22";"       .";"       1";"       7";"      34"
"436";" 47";"2003JJ00";"      81";"      23";"       .";"       0";"       5";"      45"
"437";" 47";"2004JJ00";"      95";"      42";"       .";"      11";"       .";"      39"
"438";" 47";"2005JJ00";"      85";"      38";"       .";"       2";"       .";"      45"
"439";" 47";"2006JJ00";"      67";"      28";"       .";"       0";"       .";"      37"
"440";" 47";"2007JJ00";"      81";"      34";"       3";"       2";"       5";"      38"
"441";" 47";"2008JJ00";"      99";"      46";"       .";"       2";"       .";"      47"
"442";" 47";"2009JJ00";"      98";"      42";"       .";"       0";"       0";"      49"
"443";" 47";"2010JJ00";"      90";"      38";"       3";"       6";"       .";"      44"
"444";" 47";"2011JJ00";"      73";"      36";"       4";"       4";"       1";"      29"
"445";" 47";"2012JJ00";"     130";"       .";"       .";"       .";"       .";"       ."
"446";" 47";"2013JJ00";"       0";"       0";"       0";"       0";"       0";"       0"
"447";" 47";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"448";" 47";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"449";" 47";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"450";" 48";"2002JJ00";"    1841";"     534";"     161";"     285";"     301";"     560"
"451";" 48";"2003JJ00";"    1727";"     522";"     199";"     243";"     259";"     504"
"452";" 48";"2004JJ00";"    1846";"     625";"     171";"     313";"     240";"     498"
"453";" 48";"2005JJ00";"    1804";"     619";"     209";"     301";"     227";"     448"
"454";" 48";"2006JJ00";"    1770";"     502";"     158";"     334";"     234";"     541"
"455";" 48";"2007JJ00";"    2058";"     683";"     150";"     346";"     281";"     597"
"456";" 48";"2008JJ00";"    1884";"     669";"     120";"     342";"     254";"     500"
"457";" 48";"2009JJ00";"    2228";"     832";"     148";"     416";"     291";"     540"
"458";" 48";"2010JJ00";"    2024";"     778";"     118";"     425";"     253";"     449"
"459";" 48";"2011JJ00";"    2094";"     992";"     140";"     437";"     285";"     241"
"460";" 48";"2012JJ00";"    2187";"     989";"     145";"     532";"     275";"     246"
"461";" 48";"2013JJ00";"    2180";"    1030";"      96";"     559";"     247";"     248"
"462";" 48";"2014JJ00";"    2004";"     963";"     142";"     457";"     198";"     244"
"463";" 48";"2015JJ00";"    2094";"    1058";"     106";"     493";"     231";"     206"
"464";" 48";"2016JJ00";"    2128";"    1087";"      97";"     573";"     186";"     185"
"465";" 49";"2002JJ00";"     111";"      18";"       .";"      13";"       7";"      67"
"466";" 49";"2003JJ00";"     104";"      24";"       .";"      20";"      14";"      47"
"467";" 49";"2004JJ00";"      84";"      11";"       .";"      11";"       .";"      57"
"468";" 49";"2005JJ00";"     126";"      22";"       .";"      14";"       .";"      87"
"469";" 49";"2006JJ00";"     121";"      16";"       .";"      27";"       .";"      63"
"470";" 49";"2007JJ00";"     146";"      21";"       3";"      29";"      12";"      82"
"471";" 49";"2008JJ00";"     128";"      16";"       .";"      22";"       .";"      75"
"472";" 49";"2009JJ00";"     124";"      20";"       .";"       6";"      10";"      82"
"473";" 49";"2010JJ00";"     121";"      29";"       5";"      21";"       6";"      59"
"474";" 49";"2011JJ00";"      92";"      24";"       2";"      13";"       3";"      49"
"475";" 49";"2012JJ00";"     186";"       .";"       .";"       .";"       .";"       ."
"476";" 49";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"477";" 49";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"478";" 49";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"479";" 49";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"480";" 50";"2002JJ00";"      61";"      12";"       .";"       9";"       2";"      35"
"481";" 50";"2003JJ00";"      65";"      27";"       .";"       3";"       3";"      32"
"482";" 50";"2004JJ00";"      82";"      21";"       .";"      14";"       .";"      37"
"483";" 50";"2005JJ00";"      72";"      24";"       .";"      20";"       .";"      25"
"484";" 50";"2006JJ00";"      68";"      18";"       .";"      15";"       .";"      25"
"485";" 50";"2007JJ00";"      87";"      21";"       5";"      22";"       1";"      37"
"486";" 50";"2008JJ00";"      62";"      28";"       .";"      15";"       .";"      19"
"487";" 50";"2009JJ00";"     100";"      37";"       .";"      17";"       7";"      34"
"488";" 50";"2010JJ00";"     117";"      39";"       5";"      32";"       9";"      32"
"489";" 50";"2011JJ00";"      95";"      30";"       2";"      40";"       6";"      16"
"490";" 50";"2012JJ00";"      85";"       .";"       .";"       .";"       .";"       ."
"491";" 50";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"492";" 50";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"493";" 50";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"494";" 50";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"495";" 51";"2002JJ00";"     366";"     198";"       .";"       0";"       4";"     164"
"496";" 51";"2003JJ00";"     373";"     255";"       .";"       5";"       0";"     113"
"497";" 51";"2004JJ00";"     295";"     209";"       .";"       0";"       .";"      76"
"498";" 51";"2005JJ00";"     335";"     217";"       .";"       0";"       .";"     115"
"499";" 51";"2006JJ00";"     351";"     210";"       .";"       2";"       .";"     128"
"500";" 51";"2007JJ00";"     293";"     163";"       4";"       5";"       3";"     118"
"501";" 51";"2008JJ00";"     283";"     210";"       .";"       4";"       .";"      69"
"502";" 51";"2009JJ00";"     288";"     213";"       .";"       2";"       1";"      70"
"503";" 51";"2010JJ00";"     349";"     257";"       4";"       0";"       2";"      85"
"504";" 51";"2011JJ00";"     427";"     286";"       4";"       8";"      11";"     119"
"505";" 51";"2012JJ00";"     349";"       .";"       .";"       .";"       .";"       ."
"506";" 51";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"507";" 51";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"508";" 51";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"509";" 51";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"510";" 52";"2002JJ00";"     148";"       9";"       .";"       0";"       2";"     133"
"511";" 52";"2003JJ00";"     110";"      14";"       .";"       2";"       5";"      86"
"512";" 52";"2004JJ00";"     135";"      42";"       .";"       4";"       .";"      79"
"513";" 52";"2005JJ00";"      81";"      15";"       .";"       3";"       .";"      55"
"514";" 52";"2006JJ00";"      88";"      15";"       .";"       0";"       .";"      46"
"515";" 52";"2007JJ00";"      65";"      13";"       0";"       0";"       7";"      45"
"516";" 52";"2008JJ00";"      66";"      17";"       .";"       0";"       .";"      33"
"517";" 52";"2009JJ00";"      77";"      10";"       .";"       0";"       8";"      49"
"518";" 52";"2010JJ00";"     104";"      25";"       .";"       2";"       .";"      77"
"519";" 52";"2011JJ00";"      67";"      10";"       6";"       .";"       7";"      44"
"520";" 52";"2012JJ00";"      72";"       .";"       .";"       .";"       .";"       ."
"521";" 52";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"522";" 52";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"523";" 52";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"524";" 52";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"525";" 53";"2002JJ00";"      55";"       8";"       .";"       0";"       0";"      45"
"526";" 53";"2003JJ00";"      73";"       7";"       .";"       0";"       0";"      66"
"527";" 53";"2004JJ00";"      60";"      12";"       .";"       2";"       .";"      45"
"528";" 53";"2005JJ00";"      69";"      32";"       .";"       2";"       .";"      34"
"529";" 53";"2006JJ00";"      59";"      19";"       .";"       2";"       .";"      36"
"530";" 53";"2007JJ00";"      66";"      18";"       2";"       2";"       0";"      44"
"531";" 53";"2008JJ00";"      60";"      20";"       .";"       0";"       .";"      36"
"532";" 53";"2009JJ00";"      89";"      18";"       .";"       0";"       0";"      67"
"533";" 53";"2010JJ00";"      74";"      34";"       .";"       0";"       4";"      35"
"534";" 53";"2011JJ00";"      45";"      25";"       .";"       2";"       .";"      18"
"535";" 53";"2012JJ00";"      75";"       .";"       .";"       .";"       .";"       ."
"536";" 53";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"537";" 53";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"538";" 53";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"539";" 53";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"540";" 54";"2002JJ00";"      68";"       2";"       .";"       0";"       0";"      66"
"541";" 54";"2003JJ00";"      49";"       4";"       .";"       0";"       0";"      45"
"542";" 54";"2004JJ00";"      42";"       5";"       .";"       0";"       .";"      37"
"543";" 54";"2005JJ00";"      38";"       5";"       .";"       0";"       .";"      33"
"544";" 54";"2006JJ00";"      40";"       5";"       .";"       0";"       .";"      35"
"545";" 54";"2007JJ00";"      71";"       3";"       0";"       0";"       0";"      67"
"546";" 54";"2008JJ00";"      49";"       5";"       .";"       0";"       .";"      45"
"547";" 54";"2009JJ00";"      56";"       8";"       .";"       0";"       0";"      48"
"548";" 54";"2010JJ00";"      42";"      16";"       .";"       0";"       .";"      26"
"549";" 54";"2011JJ00";"      74";"       7";"       2";"       .";"       .";"      65"
"550";" 54";"2012JJ00";"      95";"       .";"       .";"       .";"       .";"       ."
"551";" 54";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"552";" 54";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"553";" 54";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"554";" 54";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"555";" 55";"2002JJ00";"      94";"       0";"       .";"       0";"      79";"      15"
"556";" 55";"2003JJ00";"      80";"       3";"       .";"       0";"      69";"       5"
"557";" 55";"2004JJ00";"      45";"       0";"       .";"       0";"       .";"       4"
"558";" 55";"2005JJ00";"      27";"       0";"       .";"       0";"       .";"       0"
"559";" 55";"2006JJ00";"      32";"       3";"       .";"       0";"       .";"       5"
"560";" 55";"2007JJ00";"      50";"       0";"       0";"       0";"      49";"       2"
"561";" 55";"2008JJ00";"      38";"       0";"       .";"       0";"       .";"       0"
"562";" 55";"2009JJ00";"      39";"       2";"       .";"       0";"      33";"       2"
"563";" 55";"2010JJ00";"      13";"       0";"       .";"       0";"      11";"       2"
"564";" 55";"2011JJ00";"      81";"       .";"       5";"       .";"      74";"       1"
"565";" 55";"2012JJ00";"      32";"       .";"       .";"       .";"       .";"       ."
"566";" 55";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"567";" 55";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"568";" 55";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"569";" 55";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"570";" 56";"2002JJ00";"      84";"      15";"       .";"       8";"       6";"      46"
"571";" 56";"2003JJ00";"     107";"      32";"       .";"       4";"      24";"      32"
"572";" 56";"2004JJ00";"      88";"      22";"       .";"       8";"       .";"      36"
"573";" 56";"2005JJ00";"      73";"      21";"       .";"       0";"       .";"      21"
"574";" 56";"2006JJ00";"      55";"      11";"       .";"       5";"       .";"      20"
"575";" 56";"2007JJ00";"     105";"      36";"      18";"      24";"       2";"      25"
"576";" 56";"2008JJ00";"      66";"      21";"       .";"      14";"       .";"      18"
"577";" 56";"2009JJ00";"      80";"      13";"       .";"      20";"       8";"      21"
"578";" 56";"2010JJ00";"      62";"      12";"       8";"      11";"       9";"      22"
"579";" 56";"2011JJ00";"      76";"      26";"       9";"       2";"      15";"      25"
"580";" 56";"2012JJ00";"      62";"       .";"       .";"       .";"       .";"       ."
"581";" 56";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"582";" 56";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"583";" 56";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"584";" 56";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"585";" 57";"2002JJ00";"      52";"       5";"       .";"       0";"      17";"      30"
"586";" 57";"2003JJ00";"      34";"       3";"       .";"       2";"       8";"      14"
"587";" 57";"2004JJ00";"      51";"       8";"       .";"       2";"       .";"      30"
"588";" 57";"2005JJ00";"      46";"       6";"       .";"       0";"       .";"      11"
"589";" 57";"2006JJ00";"      45";"       3";"       .";"       9";"       .";"      17"
"590";" 57";"2007JJ00";"      27";"       0";"      14";"       0";"       8";"       5"
"591";" 57";"2008JJ00";"      26";"       1";"       .";"       0";"       .";"      10"
"592";" 57";"2009JJ00";"      21";"       4";"       .";"       0";"       5";"      10"
"593";" 57";"2010JJ00";"      19";"       2";"       5";"       0";"       6";"       5"
"594";" 57";"2011JJ00";"      14";"       4";"       2";"       .";"       2";"       7"
"595";" 57";"2012JJ00";"      41";"       .";"       .";"       .";"       .";"       ."
"596";" 57";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"597";" 57";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"598";" 57";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"599";" 57";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
